# Frame RMSD
0 6.778558
10 6.778558
20 6.778558
30 6.778558
40 6.778558
50 6.778558
60 6.778558
70 6.778558
80 6.778558
90 6.778558
100 6.778558
110 6.778558
120 6.778558
130 6.778558
140 6.778558
150 6.778558
160 6.778558
170 6.778558
180 6.778558
190 6.778558
200 6.778558
210 6.778558
220 6.778558
230 6.778558
240 6.778558
250 6.778558
260 6.778558
270 6.778558
280 6.778558
290 6.778558
300 6.778558
310 6.778558
320 6.778558
330 6.778558
340 6.778558
350 6.778558
360 6.778558
370 6.778558
380 6.778558
390 6.778558
400 6.778558
410 6.778558
420 6.778558
430 6.778558
440 6.778558
450 6.778558
460 6.778558
470 6.778558
480 6.778558
490 6.778558
500 6.778558
510 6.778558
520 6.778558
530 6.778558
540 6.778558
550 6.778558
560 6.778558
570 6.778558
580 6.778558
590 6.778558
600 6.778558
610 6.778558
620 6.778558
630 6.778558
640 6.778558
650 6.778558
660 6.778558
670 6.778558
680 6.778558
690 6.778558
700 6.778558
710 6.778558
720 6.778558
730 6.778558
740 6.778558
750 6.778558
760 6.778558
770 6.778558
780 6.778558
790 6.778558
800 6.778558
810 6.778558
820 6.778558
830 6.778558
840 6.778558
850 6.778558
860 6.778558
870 6.778558
880 6.778558
890 6.778558
900 6.778558
910 6.778558
920 6.778558
930 6.778558
940 6.778558
950 6.778558
960 6.778558
970 6.778558
980 6.778558
990 6.778558
1000 6.778558
1010 6.778558
1020 6.778558
1030 6.778558
1040 6.778558
1050 6.778558
1060 6.778558
1070 6.778558
1080 6.778558
1090 6.778558
1100 6.778558
1110 6.778558
1120 6.778558
1130 6.778558
1140 6.778558
1150 6.778558
1160 6.778558
1170 6.778558
1180 6.778558
1190 6.778558
1200 6.778558
1210 6.778558
1220 6.778558
1230 6.778558
1240 6.778558
1250 6.778558
1260 6.778558
1270 6.778558
1280 6.778558
1290 6.778558
1300 6.778558
1310 6.778558
1320 6.778558
1330 6.778558
1340 6.778558
1350 6.778558
1360 6.778558
1370 6.778558
1380 6.778558
1390 6.778558
1400 6.778558
1410 6.778558
1420 6.778558
1430 6.778558
1440 6.778558
1450 6.778558
1460 6.778558
1470 6.778558
1480 6.778558
1490 6.778558
1500 6.778558
1510 6.778558
1520 6.778558
1530 6.778558
1540 6.778558
1550 6.778558
1560 6.778558
1570 6.778558
1580 6.778558
1590 6.778558
1600 6.778558
1610 6.778558
1620 6.778558
1630 6.778558
1640 6.778558
1650 6.778558
1660 6.778558
1670 6.778558
1680 6.778558
1690 6.778558
1700 6.778558
1710 6.778558
1720 6.778558
1730 6.778558
1740 6.778558
1750 6.778558
1760 6.778558
1770 6.778558
1780 6.778558
1790 6.778558
1800 6.778558
1810 6.778558
1820 6.778558
1830 6.778558
1840 6.778558
1850 6.778558
1860 6.778558
1870 6.778558
1880 6.778558
1890 6.778558
1900 6.778558
1910 6.778558
1920 6.778558
1930 6.778558
1940 6.778558
1950 6.778558
1960 6.778558
1970 6.778558
1980 6.778558
1990 6.778558
2000 6.778558
2010 6.778558
2020 6.778558
2030 6.778558
2040 6.778558
2050 6.778558
2060 6.778558
2070 6.778558
2080 6.778558
2090 6.778558
2100 6.778558
2110 6.778558
2120 6.778558
2130 6.778558
2140 6.778558
2150 6.778558
2160 6.778558
2170 6.778558
2180 6.778558
2190 6.778558
2200 6.778558
2210 6.778558
2220 6.778558
2230 6.778558
2240 6.778558
2250 6.778558
2260 6.778558
2270 6.778558
2280 6.778558
2290 6.778558
2300 6.778558
2310 6.778558
2320 6.778558
2330 6.778558
2340 6.778558
2350 6.778558
2360 6.778558
2370 6.778558
2380 6.778558
2390 6.778558
2400 6.778558
2410 6.778558
2420 6.778558
2430 6.778558
2440 6.778558
2450 6.778558
2460 6.778558
2470 6.778558
2480 6.778558
2490 6.778558
2500 6.778558
2510 6.778558
2520 6.778558
2530 6.778558
2540 6.778558
2550 6.778558
2560 6.778558
2570 6.778558
2580 6.778558
2590 6.778558
2600 6.778558
2610 6.778558
2620 6.778558
2630 6.778558
2640 6.778558
2650 6.778558
2660 6.778558
2670 6.778558
2680 6.778558
2690 6.778558
2700 6.778558
2710 6.778558
2720 6.778558
2730 6.778558
2740 6.778558
2750 6.778558
2760 6.778558
2770 6.778558
2780 6.778558
2790 6.778558
2800 6.778558
2810 6.778558
2820 6.778558
2830 6.778558
2840 6.778558
2850 6.778558
2860 6.778558
2870 6.778558
2880 6.778558
2890 6.778558
2900 6.778558
2910 6.778558
2920 6.778558
2930 6.778558
2940 6.778558
2950 6.778558
2960 6.778558
2970 6.778558
2980 6.778558
2990 6.778558
3000 6.778558
3010 6.778558
3020 6.778558
3030 6.778558
3040 6.778558
3050 6.778558
3060 6.778558
3070 6.778558
3080 6.778558
3090 6.778558
3100 6.778558
3110 6.778558
3120 6.778558
3130 6.778558
3140 6.778558
3150 6.778558
3160 6.778558
3170 6.778558
3180 6.778558
3190 6.778558
3200 6.778558
3210 6.778558
3220 6.778558
3230 6.778558
3240 6.778558
3250 6.778558
3260 6.778558
3270 6.778558
3280 6.778558
3290 6.778558
3300 6.778558
3310 6.778558
3320 6.778558
3330 6.778558
3340 6.778558
3350 6.778558
3360 6.778558
3370 6.778558
3380 6.778558
3390 6.778558
3400 6.778558
3410 6.778558
3420 6.778558
3430 6.778558
3440 6.778558
3450 6.778558
3460 6.778558
3470 6.778558
3480 6.778558
3490 6.778558
3500 6.778558
3510 6.778558
3520 6.778558
3530 6.778558
3540 6.778558
3550 6.778558
3560 6.778558
3570 6.778558
3580 6.778558
3590 6.778558
3600 6.778558
3610 6.778558
3620 6.778558
3630 6.778558
3640 6.778558
3650 6.778558
3660 6.778558
3670 6.778558
3680 6.778558
3690 6.778558
3700 6.778558
3710 6.778558
3720 6.778558
3730 6.778558
3740 6.778558
3750 6.778558
3760 6.778558
3770 6.778558
3780 6.778558
3790 6.778558
3800 6.778558
3810 6.778558
3820 6.778558
3830 6.778558
3840 6.778558
3850 6.778558
3860 6.778558
3870 6.778558
3880 6.778558
3890 6.778558
3900 6.778558
3910 6.778558
3920 6.778558
3930 6.778558
3940 6.778558
3950 6.778558
3960 6.778558
3970 6.778558
3980 6.778558
3990 6.778558
4000 6.778558
4010 6.778558
4020 6.778558
4030 6.778558
4040 6.778558
4050 6.778558
4060 6.778558
4070 6.778558
4080 6.778558
4090 6.778558
4100 6.778558
4110 6.778558
4120 6.778558
4130 6.778558
4140 6.778558
4150 6.778558
4160 6.778558
4170 6.778558
4180 6.778558
4190 6.778558
4200 6.778558
4210 6.778558
4220 6.778558
4230 6.778558
4240 6.778558
4250 6.778558
4260 6.778558
4270 6.778558
4280 6.778558
4290 6.778558
4300 6.778558
4310 6.778558
4320 6.778558
4330 6.778558
4340 6.778558
4350 6.778558
4360 6.778558
4370 6.778558
4380 6.778558
4390 6.778558
4400 6.778558
4410 6.778558
4420 6.778558
4430 6.778558
4440 6.778558
4450 6.778558
4460 6.778558
4470 6.778558
4480 6.778558
4490 6.778558
