# Distance Angle
10.445654 77.077438
10.122818 73.604294
10.103848 72.708084
10.132719 76.093430
12.279613 88.377625
12.298467 84.151390
12.733627 83.896057
13.340136 82.598854
12.613982 79.758278
13.024825 75.653152
10.385496 71.246712
11.905497 72.899323
10.290312 65.393257
10.744401 64.311188
9.495397 65.067406
11.170339 64.179810
12.602143 66.857910
10.375981 64.458488
11.376107 63.467793
10.676230 62.587887
11.173638 66.930771
9.788177 62.776943
11.727234 62.599312
10.495464 66.400490
13.361811 65.676277
12.832908 63.217678
13.039535 70.755310
9.568959 65.078262
10.884686 67.607140
9.113701 63.538464
9.389988 59.096355
10.699970 57.253723
11.866351 62.210789
11.082660 60.151108
9.569265 56.935192
9.889314 57.802845
10.847066 67.225029
10.759983 64.247749
10.428951 67.721451
11.457198 67.543495
14.955413 64.116653
14.367894 65.213058
12.780857 67.149529
16.387974 66.606964
16.362057 68.630272
12.897532 68.412766
16.499184 69.617989
16.360275 69.324097
15.720596 73.623466
15.812264 69.027794
18.233517 70.855614
19.777903 70.132408
20.217281 73.711647
23.014957 79.170174
20.249277 75.620483
19.904203 83.727676
22.005365 80.325836
18.924343 78.824249
23.714846 84.519600
19.552031 75.607491
17.981676 72.525139
20.863832 81.261185
21.480799 78.882492
20.947111 84.137871
24.981611 93.182304
20.077734 88.182037
19.846586 84.345360
21.785295 85.739548
24.249182 83.378311
20.786695 75.125313
20.538443 71.509918
22.132196 82.831772
23.443390 78.030830
21.816133 78.717194
24.291939 85.709602
23.773687 87.297676
25.977903 88.208862
26.343765 89.900063
28.451813 96.044670
25.903658 93.232666
26.924274 95.638756
31.166348 94.237999
30.393450 98.031906
30.437305 99.073914
32.049625 99.577675
28.618721 96.879120
26.103170 89.776176
26.820286 88.322235
29.772120 97.087959
32.174183 102.975410
33.026695 106.708183
29.171610 96.264961
27.998491 97.093910
30.382425 94.327744
27.500422 96.872963
31.542959 90.086296
30.472136 90.260666
31.683136 94.100777
24.779823 85.190483
22.269878 84.937668
21.979687 77.926239
19.347618 78.835838
21.075863 90.622208
21.938208 86.551552
25.224251 97.526894
26.760035 92.978088
29.161297 98.431511
28.650862 98.500031
24.788645 94.251083
23.810617 95.609215
25.852398 91.934029
25.839701 88.364624
26.209467 98.575249
31.074600 103.106750
30.759485 99.455582
28.909885 104.009323
28.606087 96.657478
29.447001 93.012581
33.914364 100.563896
31.362127 98.771164
28.242237 90.395866
29.720974 90.640488
31.989769 96.865013
28.987926 93.616241
25.556997 85.668503
26.635790 92.739021
30.202335 95.590752
30.072229 96.145851
29.771885 91.950523
28.492069 94.915100
31.288269 103.721077
26.709097 90.524780
33.007545 93.291306
34.986828 92.273064
33.738537 94.446304
30.994341 90.931892
35.713482 87.623276
31.970921 95.485641
32.025463 93.646729
34.887783 93.924583
35.791088 95.126213
38.077579 92.444069
31.967606 86.902435
31.371279 83.373360
30.939127 86.448479
31.931013 93.091629
33.071335 97.179367
36.384537 98.912926
38.544189 100.510704
37.966511 102.059395
39.430603 99.148331
38.790817 96.465111
37.428551 100.863785
35.471409 98.808685
34.732338 86.921440
33.396446 93.002747
32.687706 96.271385
33.292515 96.059326
33.485920 98.537415
32.972889 104.199425
30.248055 90.793541
31.457045 88.742645
32.435104 90.812515
33.512844 97.561943
30.854973 88.993019
28.556610 93.149284
26.746737 86.251465
21.616758 87.929962
22.092463 82.603638
22.688520 84.555321
19.053036 82.226501
18.625259 88.149986
21.263380 86.960381
20.695068 89.044594
18.176908 88.928978
19.964638 85.225220
22.435341 85.939629
23.890970 86.931137
24.296238 93.480896
21.469311 87.655441
26.524031 88.559143
27.663218 87.804688
25.203890 93.316216
26.881317 95.275871
23.551802 88.778847
21.303959 83.035835
21.618086 80.891907
17.877306 82.836548
17.674482 82.787231
23.064594 94.243523
25.941645 97.604866
24.836872 94.842010
23.014799 95.612427
21.500254 93.029434
22.214172 83.084351
21.202126 81.871399
18.534445 83.762001
22.557793 94.228165
19.895500 81.105301
22.126377 86.659126
21.732571 84.525032
25.844488 97.975456
26.410143 90.595154
28.113434 100.310287
27.227642 95.146820
25.161350 89.853493
24.348904 84.918999
25.216351 83.915291
27.757824 93.376831
27.723131 94.874199
27.150620 93.400215
29.301193 95.764931
24.427246 99.469910
21.174446 87.926292
23.249216 86.211594
24.004631 87.429184
26.666548 87.727638
25.698164 90.492012
24.039688 82.599182
20.891441 81.246910
21.859818 84.945618
24.917389 86.238182
28.431143 86.304756
27.867134 84.028938
27.489838 86.941536
25.898300 79.961197
22.743633 73.455086
28.961100 83.665306
22.844728 76.679924
23.630869 81.542946
22.038105 78.377769
28.303772 79.427567
26.420488 84.709160
20.397615 74.923866
25.366047 82.664642
23.243319 75.819481
18.466539 74.112282
19.682392 74.747620
21.418440 76.798210
22.938854 80.551666
23.603252 83.827911
23.246029 83.029434
26.265238 76.779007
25.283682 82.054260
32.472256 87.626457
30.051203 72.202301
21.853222 72.304863
18.164650 78.056046
20.111582 83.932899
21.602606 84.633507
22.948969 76.421249
21.116528 80.894913
20.043306 81.995361
21.298351 77.915237
20.296743 80.921844
23.234051 81.782257
23.451504 84.571701
22.907648 84.254684
22.255791 73.846519
21.733328 70.168121
22.896242 75.738266
21.681082 76.168320
23.074694 77.984245
23.062872 74.587059
22.524858 76.281349
25.684483 84.133492
27.110584 84.120010
20.061958 78.387650
24.083441 83.373909
20.825800 78.348236
19.210642 78.009315
19.498167 77.806076
19.711197 78.452477
21.130070 75.689018
14.944438 74.735733
16.805023 70.138763
15.576337 76.944061
16.080725 81.142754
18.143782 83.461418
19.618263 77.930038
18.755264 79.370140
17.144741 81.071770
17.420877 82.688309
16.921770 74.739891
16.448702 69.240158
18.156099 80.789421
20.850748 76.324799
19.228359 72.172836
21.989138 81.459251
22.406057 71.602234
22.294979 77.628754
23.651722 76.182289
24.781258 82.013252
26.893248 79.992966
24.511728 74.843178
20.617577 63.384907
18.092196 65.567436
18.426151 73.180656
16.024736 65.273170
16.690655 62.677345
14.369479 59.328190
13.383109 58.729095
17.953760 71.345833
16.735735 73.529900
19.063404 61.610260
17.746452 60.100540
16.871746 61.944687
18.572092 70.592079
17.410498 71.006920
19.641563 66.046608
14.901983 69.369659
16.311768 64.799149
14.903590 69.783325
16.534103 64.109482
15.640944 68.797394
20.662998 83.065948
19.229342 72.666595
19.941628 83.969109
22.806040 83.652794
20.419010 85.504509
21.655260 82.992928
22.332327 81.513542
22.857430 80.574776
22.846739 80.652237
20.331726 79.956383
25.539455 80.941154
25.940386 86.273705
25.335945 82.761818
20.919212 85.384201
24.346985 94.571640
18.491610 81.520988
20.268738 91.465096
22.504656 83.044197
24.444937 93.322327
17.992485 83.055725
21.355303 83.311974
