# dom1_core dom2_core
17.113266 22.510825
16.810401 22.701626
16.857804 22.630866
16.992471 22.751583
17.425402 22.224685
17.175881 22.074605
17.113538 22.404237
17.510369 22.129845
17.178875 22.179054
17.177822 22.582291
18.228940 21.985768
17.918171 21.964723
17.615553 22.580778
17.162744 22.452335
17.002451 22.779654
17.271273 24.012621
16.862572 23.154665
17.449630 23.140211
17.275988 23.381032
17.018860 23.556178
17.231887 23.131365
16.952802 23.312871
17.954558 23.317428
17.196161 23.190759
17.619885 22.786207
17.462733 22.814422
17.498842 23.252379
17.868852 22.935623
17.902817 23.765916
17.790545 23.425699
17.556811 23.320201
18.058461 23.682611
17.650512 23.276408
17.526826 23.183244
17.785664 22.858520
18.385730 22.930506
18.865927 23.661138
19.239587 24.182254
19.277212 23.702850
19.171265 23.505547
18.474644 23.884644
18.318113 22.406159
18.074585 23.198696
18.813156 22.619873
18.980715 23.564836
19.145107 22.945888
19.449047 22.572298
18.567495 23.239479
18.999076 22.332218
18.700252 22.629813
19.801284 22.504024
19.351151 22.489068
19.190324 22.537909
18.368119 22.918008
18.534008 23.040997
19.096860 23.011255
18.708270 22.242520
18.543979 22.659052
19.358365 22.272759
19.512545 22.225515
19.839106 22.276800
19.240786 22.392134
19.502347 22.770467
19.839258 22.783662
20.350428 22.683508
19.583553 22.613226
19.962123 22.900823
20.479797 22.493372
19.351470 22.795644
18.957641 22.314577
20.018515 22.782397
19.671886 22.532507
21.059709 22.850931
20.089470 23.307560
20.420944 23.646424
19.524773 23.284917
19.867132 23.705595
19.952395 22.822506
20.190655 22.899152
20.393855 22.947752
19.083107 23.099186
19.033542 23.003756
19.525900 22.849504
19.082421 22.780030
19.411328 23.097649
19.638935 22.809494
19.313647 22.679501
19.827188 22.446139
20.155861 23.068743
20.740188 23.614054
20.560440 23.421686
19.684291 23.074741
19.264107 23.218406
19.430079 23.354146
19.932972 22.933614
20.087627 22.799780
20.176721 23.109818
19.614073 23.374709
20.736593 23.112479
20.049073 22.902138
20.194335 23.085132
20.427814 23.582888
20.413583 23.249726
20.733327 22.872426
19.211048 23.121938
20.739536 22.333415
20.646487 22.655396
20.148466 22.714103
19.952028 23.397448
20.021468 22.572336
19.821948 23.029755
19.821570 22.796035
20.237704 23.482857
20.205632 23.063442
19.674568 23.129618
20.030693 23.537757
19.713276 23.367449
20.491073 22.949841
20.189189 23.040005
20.305410 22.828664
20.581864 23.270106
20.025406 22.733453
20.517197 22.797866
21.590338 22.842005
21.149321 22.953889
21.086969 22.609874
21.539518 22.805644
21.659192 22.542192
21.521208 22.582781
22.080613 22.097541
21.546504 22.669287
21.482581 22.782307
20.579538 22.861015
21.490565 23.490448
21.676964 23.331934
20.726619 22.758453
20.822152 22.684821
21.480896 22.809887
22.041704 22.726202
21.042502 22.777857
21.120712 23.311827
21.498925 22.956770
20.569561 22.778306
20.524494 22.521787
20.480187 22.572284
20.323681 22.673499
19.784788 22.902299
20.597442 23.290745
21.728418 23.130005
21.161146 23.135099
20.813552 23.633865
21.838824 23.107681
22.103125 23.335077
22.454329 23.371793
21.969115 23.641412
21.977355 23.097295
22.999077 22.830504
24.153766 22.396582
24.652903 22.491619
24.633591 22.761292
24.267570 23.094256
24.005121 22.909896
23.955738 22.753818
23.472896 22.945587
23.493468 23.414930
22.996765 23.680706
22.592625 23.482710
23.226444 22.897005
23.834440 23.473144
24.215702 22.425312
23.962138 23.016502
24.204190 22.389229
24.925467 22.561699
24.439438 22.153773
23.958247 22.313931
24.527160 22.289236
24.333887 22.985165
24.258897 22.697196
23.566108 22.855019
22.737250 22.657680
21.479251 22.859080
22.883499 22.759538
22.825691 23.643069
23.293153 23.536842
23.371222 23.490361
24.041022 23.652798
23.394853 23.551119
22.920097 23.241946
23.944955 22.902509
23.314937 23.531144
23.989174 23.012900
24.065548 23.711151
23.849315 23.033798
23.863289 23.320214
23.820996 23.217844
23.977384 23.141966
24.063505 23.104161
23.683527 23.706274
23.476860 23.495378
24.098477 23.188123
24.730796 23.348112
25.315638 22.786941
24.755584 23.711156
24.800878 23.632551
25.634350 23.472759
25.710526 23.064369
26.101741 22.862706
25.492073 22.833146
25.624672 22.982015
25.299052 23.200844
25.683423 24.307562
26.113810 25.171271
26.167435 24.533356
25.200556 24.137259
24.691976 24.048604
24.498251 23.757598
25.193328 24.415381
26.065797 23.158569
26.127310 24.305830
26.166976 24.672870
25.786057 25.295507
26.113204 24.897015
25.430552 24.872555
26.164678 24.872918
25.679040 25.296824
25.861329 25.211684
25.888410 24.977339
25.254538 24.383463
24.841150 25.090834
25.618006 24.416125
25.568330 25.299077
